id,Nombre del Proyecto,Descripcion,Fecha de inicio,Fecha de Fin,Presupuesto,Estado
1,Plataforma de Gestion Empresarial,Sistema de gestion de recursos empresariales para mejorar la eficiencia operativa,2023-10-13,2025-04-17,42931805,Activo
2,Sistema de Planificacion de Recursos,Desarrollo de un sistema avanzado de planificacion de recursos empresariales,2023-07-17,2025-05-18,642055083,Activo
3,Sistema de Informacion Epidemiologica,Plataforma para el seguimiento y analisis de datos epidemiologicos,2023-06-14,2024-02-02,850312588,Cancelado
4,Red de Transporte Publico,Mejora y ampliacion de la infraestructura de transporte publico,2023-03-30,2023-07-24,937383174,Finalizado
5,Royal Guard Tales,La mejor obra de ficcion jamas creada.,2021-06-06,2030-02-03,149912234,Activo
6,Laboratorio de Microbiologia,Investigacion y desarrollo en microbiologia aplicada,2023-07-13,2025-10-07,325746996,Activo
7,Planificacion de Sucesion,Desarrollo de un sistema para la planificacion de la sucesión en empresas,2023-01-01,2023-05-20,231786436,Cancelado
8,Sistema de Gestion de Documentos,Desarrollo de un sistema para la gestion y archivo de documentos,2023-09-06,2029-05-19,65296214,Finalizado
9,Investigacion de Trastornos del Sueno,Estudio y tratamiento de diversos trastornos del sueno,2023-05-23,2023-08-03,555060646,Finalizado
10,Sistema de Incendios Extremo,Desarrollo de un sistema avanzado de prevencion y control de incendios,2023-02-14,2023-04-03,240045465,Cancelado
